2025-08-20 09:13:57.517 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:24:30.879 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:24:40.895 [lettuce-nioEventLoop-4-10] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:25:10.979 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:25:20.995 [lettuce-nioEventLoop-4-11] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:25:51.079 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:26:01.096 [lettuce-nioEventLoop-4-12] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:26:31.179 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:26:41.191 [lettuce-nioEventLoop-4-13] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:27:11.279 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:27:21.293 [lettuce-nioEventLoop-4-14] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:27:51.379 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:28:01.391 [lettuce-nioEventLoop-4-15] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:28:31.479 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:28:41.491 [lettuce-nioEventLoop-4-16] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:29:11.591 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:29:21.608 [lettuce-nioEventLoop-4-1] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:29:51.688 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:30:01.691 [lettuce-nioEventLoop-4-2] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:30:31.789 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:30:41.804 [lettuce-nioEventLoop-4-3] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:31:11.889 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:31:21.905 [lettuce-nioEventLoop-4-4] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:31:51.986 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:32:01.988 [lettuce-nioEventLoop-4-5] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:32:32.087 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:32:42.104 [lettuce-nioEventLoop-4-6] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:33:12.187 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:33:22.203 [lettuce-nioEventLoop-4-7] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:33:52.285 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:34:02.287 [lettuce-nioEventLoop-4-8] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:34:32.386 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:34:42.401 [lettuce-nioEventLoop-4-9] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:35:12.484 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:35:22.486 [lettuce-nioEventLoop-4-10] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:35:52.585 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:36:02.600 [lettuce-nioEventLoop-4-11] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:36:32.683 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:36:42.686 [lettuce-nioEventLoop-4-12] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:37:12.783 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:37:22.800 [lettuce-nioEventLoop-4-13] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:37:52.882 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:38:02.888 [lettuce-nioEventLoop-4-14] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:38:32.981 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:38:42.998 [lettuce-nioEventLoop-4-15] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:39:13.082 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:39:23.097 [lettuce-nioEventLoop-4-16] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:39:53.189 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:40:03.193 [lettuce-nioEventLoop-4-1] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:40:33.283 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:40:43.299 [lettuce-nioEventLoop-4-2] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:41:13.378 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:41:23.396 [lettuce-nioEventLoop-4-3] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:41:53.478 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:42:03.485 [lettuce-nioEventLoop-4-4] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:42:33.579 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:42:43.594 [lettuce-nioEventLoop-4-5] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:43:13.703 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:43:23.719 [lettuce-nioEventLoop-4-6] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:43:53.789 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:44:03.798 [lettuce-nioEventLoop-4-7] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:44:33.878 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:44:43.895 [lettuce-nioEventLoop-4-8] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:45:13.990 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:45:23.996 [lettuce-nioEventLoop-4-9] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:45:54.079 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:46:04.094 [lettuce-nioEventLoop-4-10] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:46:34.187 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:46:44.203 [lettuce-nioEventLoop-4-11] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:47:14.282 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:47:24.289 [lettuce-nioEventLoop-4-12] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:47:54.378 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:48:04.394 [lettuce-nioEventLoop-4-13] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:48:34.485 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:48:44.496 [lettuce-nioEventLoop-4-14] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:49:14.578 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:49:24.592 [lettuce-nioEventLoop-4-15] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:49:54.679 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:50:04.694 [lettuce-nioEventLoop-4-16] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:50:34.781 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:50:44.794 [lettuce-nioEventLoop-4-1] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:51:14.880 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:51:24.894 [lettuce-nioEventLoop-4-2] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:51:54.978 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:52:04.985 [lettuce-nioEventLoop-4-3] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:52:35.079 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:52:45.095 [lettuce-nioEventLoop-4-4] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:53:15.187 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:53:25.203 [lettuce-nioEventLoop-4-5] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:53:55.281 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:54:05.284 [lettuce-nioEventLoop-4-6] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:54:35.378 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:54:45.389 [lettuce-nioEventLoop-4-7] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:55:15.490 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:55:25.504 [lettuce-nioEventLoop-4-8] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:55:55.588 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:56:05.603 [lettuce-nioEventLoop-4-9] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:56:35.678 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:56:45.688 [lettuce-nioEventLoop-4-10] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:57:15.789 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:57:25.794 [lettuce-nioEventLoop-4-11] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:57:55.878 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:58:05.883 [lettuce-nioEventLoop-4-12] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:58:35.979 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:58:45.989 [lettuce-nioEventLoop-4-13] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:59:16.079 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:59:26.084 [lettuce-nioEventLoop-4-14] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:59:56.178 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 10:00:06.194 [lettuce-nioEventLoop-4-15] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 10:00:36.279 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 10:00:46.288 [lettuce-nioEventLoop-4-16] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 10:01:16.384 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 10:01:26.388 [lettuce-nioEventLoop-4-1] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 10:01:56.487 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 10:02:06.504 [lettuce-nioEventLoop-4-2] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
